districtName,regFee,project_cost,project_address,prmtr_com_reg_no,payment_status,payment_token,wfoid,projectCost,projectType,projectRegId,total_est_cost_of_proj,regNo,projectName,districtType,projOrgFDate,extDate,disposed_date,project_ack_no,startDate,endDate,hardcopysubmissionDate,pmtr_email_id,project_status,promoterName,approvedOn,promoterAddress
Surat,555675,3767700000,"TP :- 61, (PARVAT-GODADARA),BLOCK NO.35, OP NO.35,FP NO.35, AT-(PARVAT-GODADARA),SURAT",GUJSR100534,Paid,PRC8LKQ6Y3381,6381,3767700000,Commercial,6381,3767700000,PR/GJ/SURAT/SURAT CITY/SUDA/CAA02886/130618,AVADH RITURAJ TEXTILE HUB,Surat,2027-06-30 00:00:00, , ,PR/SURAT/SURAT CITY/SUDA/180602/005487,2018-05-17,2027-06-30,2018-06-02 14:27:55,orangecorporation1213@gmail.com,New,ORANGE CORPORATION,2018-06-13,"TP :- 61, (PARVAT-GODADARA),BLOCK NO.35, OP NO.35,FP NO.35, AT-(PARVAT-GODADARA),SURAT"
Ahmedabad,431245,3740960000,"opp. Super bungalows Off Science City Road ,Sola",AAP0584,Paid,PRCPQIT7V5667,13667,3740960000,Residential/Group Housing,13667,3740960000,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA09838/210222,HARMONY HARIKESH,Ahmedabad,2027-12-31 00:00:00, , ,PR/AHMEDABAD/AHMEDABAD CITY/GUJRERA/220210/012347,2021-12-23,2027-12-31,2022-02-07 17:36:35,harikeshharmony@gmail.com,New,MAHAPRABHU RESIDENCY LLP,2022-02-21,"HARMONY HARIKESH, Near Super Bunglow sn-766,fp -6 , Science city road, Sola ,ahmedabad"
Surat,393549,3666260000,"BLOCK NO 183 AND 184 - B ,T P S NO 9,F P NO 12,  PALANPUR BHESAN,",GUJJUN04688,SAVED,PRCZ1144B7785,15818,3666260000,Residential/Group Housing,18785,3666260000,PR/GJ/SURAT/SURAT CITY/SUDA/RAA11763/150523,AMAYA,Surat,2027-12-31 00:00:00, , ,PR/SURAT/SURAT CITY/GUJRERA/230418/014440,2023-02-01,2035-12-31,2023-04-06 19:01:31,amayacorporation2022@gmail.com,New,AMAYA CORPORATION,2023-05-15,"PRAMUKH ORBIT 2 , 10TH FLOOR, VESU CANAL ROAD,  VESU"
Gandhinagar,704221,3653170000,PLOT NO - 25B & 25C GIFT CITY SEZ,ABA5200,Paid,PRC6MDQ736795,15795,3653170000,Mixed Development,18765,3653170000,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA11559/060423,SHILP NORTH SKY,Gandhinagar,2025-12-31 00:00:00, , ,PR/GANDHINAGAR/GANDHINAGAR/GUJRERA/230403/014415,2023-03-01,2028-03-31,2023-03-29 20:55:46,rera.shilpnorthsky@gmail.com,New,SHILP INFRAPROJECTS LLP,2023-04-06,"SHILP HOUSE, SUR NO 220/ 2/4, F P 304/3, TP 50 RAJPATH CLUB, RAJPATH RANGOLI ROAD, BODAKDEV"
Ahmedabad,789210,3600000000,"Indraprasth Saptak, B/s. Sahajanand Tower Nr. Shell Petrol Pump, Nr. AEC Cross Roads, Naranpura",GUJAH102896,Paid,PRCOIPAZ25143,12143,4013760000,Mixed Development,12143,4013760000,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08765/140721,Indraprasth Saptak,Ahmedabad,2025-03-31 00:00:00, , ,PR/AHMEDABAD/AHMEDABAD CITY/GUJRERA/210525/010935,2021-04-01,2025-03-31,2021-05-07 17:56:40,malav@deepgroup1980.com,New,DEEP BUILDERS,2021-07-14,"10th Floor President House Opp. C.N. Vidyalaya, Ambawadi"
Gandhinagar,0,3573200000,"Block No 51, Road 5E Zone 5, GIFT CITY",U70109DL2007PTC162288,SAVED,PRCF20PUZ7978,978,5573120000,Commercial,978,5573120000,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/CAA00788/EX1/180923,"WTC GIFT  Tower A, B & D",Gandhinagar,2023-06-30 00:00:00,2024-06-30 00:00:00, ,PR/GANDHINAGAR/GANDHINAGAR/GANDHINAGAR TPO/170801/001238,2015-11-09,2024-06-30,2017-08-01 00:00:00,rera.wtcgiftabd@gmail.com,Ongoing,WTC Noida Development Company Pvt Ltd,2017-11-21,"GF - 09, Plaza M-6 Jasola District Centre South Delhi"
Ahmedabad,243850,3569650000,"Venus Ground, Opp Jhansi Rani Statue,  Nehrunagar, Satellite",U45201GJ2002PTC040945,Paid,PRCAC2C7N3477,5477,3569650000,Commercial,5477,3569650000,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA02224/A1C/041120,Stratum @ Venus Ground,Ahmedabad,2023-09-30 00:00:00, , ,PR/AHMEDABAD/AHMEDABAD CITY/AHMEDABAD TPO/180221/004690,2017-04-11,2023-09-30,2018-02-21 18:57:00,rera@venusinfrastructure.com,New,Venus Infrastructure and Developers Private Limited,2018-04-02,"1101, VENUS AMADEUS, Jodhpur Crossroad,Satellite,"
Ahmedabad,387651,3554410000,"SKYCITY, NEAR CLUB 07,S.P.RING ROAD BLOCK NOS.215,251,305,306,F.P NO. 21,TP SCHME NO . 1(SHELA)",AAB5357,Paid,PRCAU3GHL6833,16833,3554410000,Residential/Group Housing,19632,3554410000,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA12709/161123,RIVIERA PALACIO,Ahmedabad,2026-02-16 00:00:00, , ,PR/AHMEDABAD/SANAND/GUJRERA/230925/015449,2023-08-28,2029-12-31,2023-09-15 13:59:36,rivierasprings.rera@gmail.com,New,SAFAL GOYAL REALTY LLP,2023-11-16,"GOYAL HOUSE, OPP KARNAVATI CLUB S G HIGHWAY"
Surat,337050,3482960000,"Final Plot No. 38/B, Block No.38, T.P. Scheme No. 61,  Next to SMC party Plot, Puna Godadara Road",GUJSR100348,Paid,PRCKFU7J83101,4101,3482960000,Commercial,4101,3482960000,PR/GJ/SURAT/SURAT CITY/SUDA/CAA01291/A1C/EX1/290922,INTERNATIONAL TEXTILE MARKET,Surat,2022-06-30 00:00:00,2023-06-30 00:00:00, ,PR/SURAT/SURAT CITY/SUDA/170930/003447,2016-09-01,2023-06-30,2017-09-30 00:00:00,itfinfra05@gmail.com,Ongoing,I T M INFRA,2018-01-11,"Block No. 38, T.P 61 (Parvat Godadra),  Puna Godadra Road, Parvat"
Gandhinagar,825049,3477750000,"Near Ananya School, Opp Suryan Home Town, 100 Ft TP Road, New Chandkheda",AAR5691,Paid,PRCK6678U5708,13708,3477750000,Commercial,13708,3477750000,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/CAA09858/250222,ATM MALL / ATM COLIVING I & II (Service Apartment),Gandhinagar,2028-12-31 00:00:00, , ,PR/GANDHINAGAR/GANDHINAGAR/GUJRERA/220204/012389,2022-01-19,2028-12-31,2022-01-27 17:43:28,atmilyfllp@gmail.com,New,ATM ILYF LLP,2022-02-25,"Nr. Kautilya 99, Survey No. 170, TP 133, Tragad, Ahmedabad"
Surat,619529,3395660000,"T.P.S.NO .-4(UMRA-SOUTH),BLOCK NO-146/1 & 144/3, F.P.NO.-106, O.P.NO.-19/1,AT- SURAT",AAF6381,Paid,PRCKMIDZW6407,15407,3395660000,Commercial,18408,3395660000,PR/GJ/SURAT/SURAT CITY/SUDA/CAA11384/040323,AASHIRWAD HIGH STREET ,Surat,2027-12-31 00:00:00, , ,PR/SURAT/SURAT CITY/GUJRERA/230131/014027,2022-04-01,2025-03-31,2023-01-25 20:30:24,westerngroup00000@gmail.com,New,SHAKTI ORGANISERS LLP,2023-03-04,"1003/1004, TURNING POINT COMPLEX, GHOD DOD ROAD, SURAT-395007"
Ahmedabad,258575,3380000000,"ICONIC SHYAMAL, Shyamal Cross Road Junction, Shyamal, Ahmedabad", ,Paid,PRCM5G03V4202,8202,3426150000,Commercial,8202,3426150000,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA05385/040519,ICONIC SHYAMAL,Ahmedabad,2022-09-30 00:00:00, , ,PR/AHMEDABAD/AHMEDABAD CITY/AHMEDABAD TPO/190424/007255,2019-04-08,2022-09-30,2019-04-17 18:45:42,prathamheights75@gmail.com,New,BAJRANG DEVELOPERS,2019-05-04,
Ahmedabad,448958,3361770000,"Sky Ville, Near Club O7 , Shela Road, Sanand, Ahmedabad",U45200GJ2006PTC048571,Paid,PRC7DZH1S4967,9967,3361770000,Residential/Group Housing,9967,3361770000,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA07053/280520,SkyVille,Ahmedabad,2024-07-16 00:00:00, , ,PR/AHMEDABAD/AHMEDABAD CITY/AUDA/200225/008955,2020-01-09,2024-07-16,2020-02-19 20:30:34,skyvillerera@gmail.com,New,West Wing Infrastructures Private Limited,2020-05-28,"Ground Floor, Shop No. 9, Samatva Complex, Near Club O7, S.P.Ring Road, Shela, Ahmedabad"
Surat,167110,3360130000,"New R.S. No. 80,81/1,84/3, Moje Vesu, Taluka Majura, District Surat TP-2 (Vesu-Bharthana-Vesu) FP. No.52+54, Near Rajhans Cosmic, Canal Road, Vesu, Surat",U70102GJ2010PTC059951,Paid,PRC2OAI7Q3764,5764,3360130000,Residential/Group Housing,5764,3360130000,PR/GJ/SURAT/SURAT CITY/SUDA/RAA03579/A2R/EX1/060521,RAJHANS ROYALTON,Surat,2021-02-15 00:00:00,2022-02-15 00:00:00, ,PR/SURAT/SURAT CITY/SUDA/180419/004902,2017-12-18,2022-02-15,2018-04-19 16:18:28,rajhans.golflink@gmail.com,New,RAJHANS INFRACON (INDIA) PRIVATE LIMITED,2018-10-04,"Rajhans Empire, Beside Le Meridien Hotel, Near Airport Dumas Road, Surat"
Surat,412189,3348620000,"Rajhans Cremona, Behind C.B. Patel Club House, VIP Road, Vesu, Surat",U15490GJ2011PTC066906,Paid,PRCJIZ5625168,12168,3348620000,Residential/Group Housing,12168,3348620000,PR/GJ/SURAT/SURAT CITY/SUDA/RAA08688/290621,RAJHANS CREMONA,Surat,2025-03-31 00:00:00, , ,PR/SURAT/SURAT CITY/GUJRERA/210526/010952,2021-05-07,2025-03-31,2021-05-08 20:13:18,rajhans.zoristta@gmail.com,New,RAJHANS NUTRIMENTS PRIVATE LIMITED,2021-06-29,"Rajhans Empire, Beside Le Meridien Hotel, Near Airport Dumas Road, Surat"
Ahmedabad,409290,3340600000,"Plot No.15, N. D. Avenue, Opp. Vishwanath Sarathya, VIP Road, Shela,",PII/GRDW/10000/0270707(GURUDWARA),Paid,PRIF7GLU16061,14061,3340600000,Mixed Development,17230,3340600000,PR/GJ/AHMEDABAD/SANAND/AUDA/MAA10293/A1M/140323,Vishwanath Sarathya West,Ahmedabad,2025-06-30 00:00:00, , ,PR/AHMEDABAD/SANAND/GUJRERA/220425/012721,2022-03-29,2026-12-31,2022-04-02 18:52:34,tejas@vishwanathbuilders.com,New,Vishwanath Builders through Prop Hitesh R Vyas,2022-06-08,"Block L, Mondeal Retail Park, Nr Rajpath Club Bodakdev"
Ahmedabad,500000,3300800000,Chekhla-Vasanjada Sanand Kalol Highway,U70109GJ2004PTC043888,Paid,PRCFUSLE73925,3925,3222570000,Residential/Group Housing,3925,3222570000,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA00986/EX4/A1R/260523,THE OTHERSIDE,Ahmedabad,2019-12-31 00:00:00,2023-12-31 00:00:00, ,PR/AHMEDABAD/SANAND/AHMEDABAD TPO/170929/003280,2010-10-01,2023-12-31,2017-09-29 00:00:00,info@shantikrupa.com,Ongoing,SHANTIKRUPA ESTATES PRIVATE LIMITED,2017-12-12,"901, MILESTONE BLDG DRIVE IN ROAD, THALTEJ"
Surat,123290,3294350000,"T.P. SCHEME NO. 5 (VESU-BHIMRAD) BLOCK NO. 181/2, 152/1 O.P. NO. 68,70 F.P. NO. 68+70/1, AT- SURAT",AAJ3452,Paid,PRCEJHX4O4747,7747,3294350000,Residential/Group Housing,7747,3294350000,PR/GJ/SURAT/SURAT CITY/SUDA/RAA04942/A1R/310523,OFIRA PEAK,Surat,2024-10-30 00:00:00, , ,PR/SURAT/SURAT CITY/GANDHINAGAR TPO/190218/006803,2018-11-12,2024-10-30,2019-02-09 15:38:06,unitech@pradeepsinghi.com,New,AVANTIS UNITECH LLP,2019-02-28,"SHOP S-7,SECOND FL  VIP PLAZA , NEAR SHYAM TEMPLE"
Ahmedabad,391650,3256330000,"Bopal - Ghuma BRTS Road Opp BPCL Petrol Pump, Bopal",GUJAH100889,Paid,PRCWMMXT63915,6915,3256330000,Commercial,6915,3256330000,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA03537/A3C/280721,The Retail Park,Ahmedabad,2023-12-30 00:00:00, , ,PR/AHMEDABAD/AHMEDABAD CITY/AHMEDABAD TPO/180823/005996,2018-06-28,2023-12-30,2018-08-23 13:10:48,accounts@theretailpark.in,New,R S PROCON,2018-09-29,"1301-1302, Titanium One Near Rajpath Club, Bodakdev, Ahmedabad"
Ahmedabad,597979,3253030000,panjarapole cross roads  panjarapole,AAJ7274,Paid,PRCDS301Z4156,10156,3253030000,Mixed Development,10156,3253030000,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA07151/A1M/240321,SHIVALIK SHARDA HARMONY,Ahmedabad,2024-09-30 00:00:00, , ,PR/AHMEDABAD/AHMEDABAD CITY/GANDHINAGAR TPO/200505/009132,2020-03-20,2024-09-30,2020-05-02 21:46:27,design@shivalikgroup.com,New,SHIVALIK PARAM STRUCTURES LLP,2020-06-17,shivalik group  b/s satellite police station 
Ahmedabad,128180,3202980000,"NR. AHMEDABAD ONE MALL, VASTRAPUR VASTRAPUR",AAB8774,Paid,PRCGPE5643104,2104,3202980000,Residential/Group Housing,2104,3202980000,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00169/A2R/EX1/170822,Sheetal Westpark Residency,Ahmedabad,2022-06-30 00:00:00,2022-09-30 00:00:00, ,PR/AHMEDABAD/AHMADABAD CITY/AUDA/170831/001750,2017-08-01,2022-09-30,2017-08-31 00:00:00,accounts@sheetalinfra.com,New,MAHIKA INFRA LLP,2017-09-18,"25,4TH FLOOR, SHUKAN MALL NR. RAJASTHAN HOSPITAL, SHAHIBAUG, AHMEDABAD"
Surat,1000000,3183280000,"RRTM, B/H Bharat Cancer Hospital,Saroli Surat",U45202MH2009PTC197319,Paid,PRIUCSPI73943,3943,4056060000,Commercial,3943,4056060000,PR/GJ/SURAT/SURAT CITY/SUDA/CAA01590/A1C/190922,Radha Raman Textile Market Phase 2,Surat,2026-06-30 00:00:00, , ,PR/SURAT/SURAT CITY/SUDA/170930/003276,2013-10-05,2026-06-30,2017-09-30 00:00:00,dmdauravesu1@gmail.com,Ongoing,DMD DEVELOPERS PRIVATE LIMITED,2018-02-09,"A 16-21, RRTM B/H Bharat Cancer Hospital, Saroli"
Surat,456179,3166170000,"Rajhans Kronis, Opposite CB Patel Health Club, VIP Road, Vesu, Surat",U70102GJ2010PTC059951,Paid,PRCS1NZP66984,15984,3166170000,Residential/Group Housing,18945,3166170000,PR/GJ/SURAT/SURAT CITY/SUDA/RAA11979/200623,RAJHANS KRONIS,Surat,2025-12-31 00:00:00, , ,PR/SURAT/SURAT CITY/GUJRERA/230504/014594R1,2023-04-21,2028-12-31,2023-04-29 14:33:58,rajhans.golflink@gmail.com,New,RAJHANS INFRACON (INDIA) PRIVATE LIMITED,2023-06-20,"Rajhans Empire, Beside Le Meridien Hotel, Near Airport Dumas Road, Surat"
Ahmedabad,396120,3118660000,"Plot NO:3, N.D.Avenue Op. Club O7",PII/MKR/10099/0277058(MAKARBA),SAVED,PRIPQG5N07508,12508,3118660000,Residential/Group Housing,12508,3118660000,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA08927/210821,Maher Select,Ahmedabad,2025-08-31 00:00:00, , ,PR/AHMEDABAD/SANAND/GUJRERA/210715/011240,2021-05-18,2025-08-31,2021-07-09 11:06:56,dushyantpandya1965@gmail.com,New,Dushyant  M. Pandya self and sole proprietor of M/s. Vishwanath Buildcon ,2021-08-21,"B-701, Block-B, Inceptum,  Opp. Hotel Planet Landmark, Makarba"
Ahmedabad,808275,3098300000,"Behind Kalibari Temple, Opp Iscon Platinum Off Rajpath Road, Ambli",AAQ3039,Paid,PRCU3SRIE5729,12729,3098300000,Mixed Development,12729,3098300000,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA09198/181021,Indraprasth Shivanta,Ahmedabad,2026-03-31 00:00:00, , ,PR/AHMEDABAD/AHMEDABAD CITY/GUJRERA/210913/011460,2021-08-05,2026-03-31,2021-08-19 12:13:56,shivanta@deepgroup1980.com,New,DEEP INFRAPROJECTS LLP,2021-10-18,"10th Floor President House Opp CN Vidyalaya, Ambawadi"
Ahmedabad,386042,3088990000,"Swati Parkside, Applewoods Township  Near Shantipura Cross Road",AAK1818,Paid,PRCRIYPDS4983,9983,3088990000,Residential/Group Housing,9983,3088990000,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA06978/A2R/310523,Swati Parkside,Ahmedabad,2025-06-30 00:00:00, , ,PR/AHMEDABAD/AHMEDABAD CITY/AHMEDABAD TPO/200303/008967,2019-10-22,2025-06-30,2020-02-21 17:01:44,swatiprocon@gmail.com,New,SWATISANDHYA PROCON LLP,2020-05-11,"1104-1105, 11TH FLOOR, SIGNATURE-1, NR. MERCEDES SHOWROOM, SURVEY NO. 841/1/2/10, PLOT NO. 287/276, S.G. HIGHWAY"
Ahmedabad,879894,3086850000,"Sun Atmosphere, Opp Club O'7,  Shela",GUJAH101839,Paid,PRCKBBPSJ5927,10927,3086850000,Mixed Development,10927,3086850000,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA07770/141220,Sun Atmosphere,Ahmedabad,2024-07-31 00:00:00, , ,PR/AHMEDABAD/AHMEDABAD CITY/AHMEDABAD TPO/201107/009850,2020-10-23,2024-07-31,2020-11-02 11:58:29,sunatmosphere20@gmail.com,New,SUN REALTY,2020-12-14,"Sun Builders Group, Nr Saket 3, Sindhu Bhavan Road Bodakdev"
Ahmedabad,1000000,3035230000,"Bharat Bobin Mill Compound,  Near Ajit Mill Char Rasta,",AAC2887,Paid,PRC1GAJC13389,389,3035230000,Commercial,389,3035230000,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00003/210817,Sumel-8,Ahmedabad,2018-12-31 00:00:00, , ,PR/AHMEDABAD/AHMADABAD CITY/AUDA/170729/000237,2015-01-27,2018-12-31,2017-07-29 00:00:00,sumel8.rera@hnsafal.com,Ongoing,HN SAFAL REALTECH LLP,2017-08-21,"10th Floor, Safal Profitaire, Corporate Road, Prahladnagar"
Surat,283190,3030080000,"TP-75, FP-35, B/H AGRAWAL SCHOOL,  NR. BLOSSOM, VESU ROAD, SURAT",GUJSRT172137,Paid,PRCUOJ4O13332,1332,3030060000,Residential/Group Housing,1332,3030060000,PR/GJ/SURAT/SURAT CITY/SUDA/RAA00205/210917,CELEBRITY GREENS,Surat,2019-01-29 00:00:00, , ,PR/SURAT/SURAT CITY/SURAT TPO/170731/001090,2015-12-15,2019-01-29,2017-07-31 00:00:00,celebritygreen@sutarwala.in,Ongoing,HAPPY HOME CORPORATION,2017-09-21,"Shantiniketan, 1st Floor, Near S.D.Jain School, University Airport Road, Vesu Cross Road"
Vadodara,643510,2997000000,"SORRENTO ROSETTE, NEAR SAPTAK ROSETTE, 30M CANAL ROAD BHAYLI TP3, VASNA BHAYLI ROAD",ABB9059,Paid,PRCD6BYKB6208,16208,2908760000,Mixed Development,19148,2908760000,PR/GJ/VADODARA/VADODARA/Others/MAA12311/250923,SORRENTO ROSETTE,Vadodara,2027-10-01 00:00:00, , ,PR/VADODARA/VADODARA/GUJRERA/230615/014819,2023-05-01,2029-12-31,2023-06-12 15:32:45,sorrento.rosette@gmail.com,New,AVKAR BUILDTECH LLP,2023-09-25,"SR NO. 381, OPEN PLOT,  B/S SAPTAK ROSETTE WAVES CLUB LANE, BHAILY"
Surat,620610,2974580000,"T.P.S. No. 06( PIPLOD), F.P. No.01,O.P. No.01,R.S.No.77,78/A, Paikee Sub Plot No.B Opp. Ramvatika Party Plot,Rundh Jakatnaka, Piplod, SURAT-DUMAS ROAD",NOT APPLICABLE,Paid,PRC3WZWEI3068,5068,3060070000,Residential/Group Housing,5068,3060070000,PR/GJ/SURAT/SURAT CITY/SUDA/RAA01393/EX2/A1R/200922,ELYSIUM AVENUE		,Surat,2021-06-30 00:00:00,2023-05-31 00:00:00, ,PR/SURAT/SURAT CITY/SUDA/171228/004305,2014-04-16,2023-05-31,2017-12-28 16:17:30,dminfrasurat@gmail.com,Ongoing,D & M INFRA,2018-01-22,"T.P.S. No. 06( PIPLOD), F.P. No.01,O.P. No.01,R.S.No.77,78/A, Paikee Sub Plot No.B Opp. Ramvatika Party Plot,Rundh Jakatnaka, Piplod, "
Gandhinagar,453280,2972600000,"at Village Karoli, Jethalaj, Near Khatraj Cross Road, Near Arvind Limited Village : Jethalaj, Taluko: Kalol",L17119GJ1931PLC000093,SAVED,PRCOTK2Q27618,9618,2972570000,Residential/Group Housing,9618,2972570000,PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/RAA06788/A4R/161123,Forreste,Gandhinagar,2025-06-30 00:00:00, , ,PR/GANDHINAGAR/GANDHINAGAR/AUDA/200102/008622,2019-11-01,2025-06-30,2019-12-17 19:03:55,saurabh.shah@arvind.in,New,ARVIND LIMITED,2020-02-14,"24, Government Servant's Society, Nr. Municipal Market, Off C. G. Road, Navrangpura, Ahmedabad"
Vadodara,334524,2968880000,"Survi Pristine, Opp. Banker's Heart Hospital,  Tulsidham - Jupiter Road, Manjalpur, Vadodara, Gujarat-390011.",AAZ6167,Paid,PRCJTDTVE6567,14567,2968880000,Mixed Development,17670,2968880000,PR/GJ/VADODARA/VADODARA/Others/MAA10716/300922,Survi Pristine,Vadodara,2025-06-30 00:00:00, , ,PR/VADODARA/VADODARA/GUJRERA/220823/013210,2022-03-31,2027-12-31,2022-07-29 18:36:58,anant@survigroup.com,New,SURVI INFRASPACE LLP,2022-09-30,"Office No. 9, 3rd Floor, Nathdwara Avenue Waghodia Dabhoi Ring Road, Vadodara, Gujarat-390017."
Ahmedabad,228125,2960000000,"The First Avenue, Beside Keshavbaug Party Plot, Vastrapur, Ahmedabad-380015.",GUJAMS40659,Paid,PRCMUB5K13312,312,2321190000,Commercial,312,2321190000,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00045/010917,THE FIRST,Ahmedabad,2019-03-31 00:00:00, , ,PR/AHMEDABAD/AHMADABAD CITY/AHMEDABAD TPO/170725/000177,2015-03-02,2019-03-31,2017-07-25 00:00:00,thefirstrera@gmail.com,Ongoing,Synthesis Corporation,2017-09-01,"B-701, Safal Pegasus, Nr. Auda Garden, Prahladnagar, Ahmedabad-380015."
Ahmedabad,163900,2953170000,"Opp. Shaligram Tower, Near Jhansi ki Rani Statue Nehru Nagar Towards shivranjani Road",AAC6286,Paid,PRCW310E73961,3961,2953170000,Residential/Group Housing,3961,2953170000,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00874/A1R/EX1/010621,Cloud 9,Ahmedabad,2021-06-30 00:00:00,2022-06-30 00:00:00, ,PR/AHMEDABAD/AHMADABAD CITY/AUDA/170929/003293,2016-09-17,2022-06-30,2017-09-29 00:00:00,accounts@cloud9infra.in,Ongoing,CLOUD 9 INFRASPACE LLP,2017-11-30,"""CLOUD 9"", Opp. Shaligram Tower, Nr. Jhansi Ki Rani Statue, Nehru Nagar"
Surat,237660,2940970000,"134 INFRA, Casa Rivera T.P.14, F.P. 134/B, Beside Rajhans Elita, Pal-Hazira Road",AAL 4267,Paid,PRCZ1TMDB3516,4516,2940970000,Residential/Group Housing,4516,2940970000,PR/GJ/SURAT/SURAT CITY/SUDA/RAA00853/EX3/EX2/130623,CASA RIVERA,Surat,2022-03-30 00:00:00,2024-03-29 00:00:00, ,PR/SURAT/SURAT CITY/SUDA/171027/003838,2017-05-01,2024-03-29,2017-10-27 18:30:07,134pal@gmail.com,Ongoing,134 INFRA LLP,2017-11-29,"CASA RIVERA, T.P.14, F.P. 134/B, Beside Rajhans Elita, Pal- Hazira Road"
Gandhinagar,24560,2930020000,VILLAGE DANTALI SHANTIGRAM TOWNSHIP ,U45200GJ2005PTC047086,Paid,PRCFYEVAV6384,15384,2930030000,Residential/Group Housing,18385,2930030000,PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/RAA11300/020323, The West Park,Gandhinagar,2025-12-30 00:00:00, , ,PR/GANDHINAGAR/GANDHINAGAR/GUJRERA/230113/014008,2022-12-28,2027-12-31,2023-01-10 17:31:47,augusta@adani.com,New,ADANI ESTATE MANAGEMENT PRIVATE LIMITED,2023-03-02,"ADANI HOUSE,NR. MITHKHALI SIX ROADS NAVRANGPURA"
Gandhinagar,575065,2927520000,GIFT SEZ AT GIFT CITY BLOCK-ID 16-E BLOCK - 16 ZONE-1,AAY5124,Paid,PRCHLAGET6720,14720,2927520000,Mixed Development,17798,2927520000,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA11100/301222,MARINA,Gandhinagar,2026-03-31 00:00:00, , ,PR/GANDHINAGAR/GANDHINAGAR/GUJRERA/221226/013940,2022-12-20,2027-12-31,2022-12-25 12:10:14,rera.marina@savvygroup.in,New,SAVVY ATS REALTY LLP,2022-12-30,"B-900, SHAPATH-4, OPP: KARNAVATI CLUB, S. G. ROAD, AHMEDABAD"
Ahmedabad,908100,2900600000,"The Canvas, Near Sanskardham South Bopal Extension",AAV7282,Paid,PRCUJQYJR5551,13551,2900600000,Mixed Development,13551,2900600000,PR/GJ/AHMEDABAD/SANAND/AUDA/MAA09626/A1M/080422,The Canvas ,Ahmedabad,2025-12-31 00:00:00, , ,PR/AHMEDABAD/SANAND/GUJRERA/211227/012237,2022-01-01,2025-12-31,2021-12-26 15:03:46,kavishaatria@gmail.com,New,KAVISHA ATRIA LLP,2021-12-31,"Kavisha Corporate Campus S P Ring Road, Ambli"
Ahmedabad,447549,2897960000,"Mondeal Two, F.P.No.-66, Nr. Antriksh Colony BRTS Stop, Beside Double Tree Hilton Hotel, Ambli Road,",U45205GJ2015PTC083783,SAVED,PRCHA4ONX7084,16135,2897960000,Commercial,19084,2897960000,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA12151/170823,MONDEAL TWO,Ahmedabad,2027-03-31 00:00:00, , ,PR/AHMEDABAD/AHMEDABAD CITY/GUJRERA/230529/014750,2023-04-05,2028-12-31,2023-05-18 17:01:33,mondeal2.rera@gmail.com,New,HN SAFAL INFRA DEVELOPERS PRIVATE LIMITED,2023-08-17,"HN SAFAL HOUSE, BESIDE CIRCLE P COMPLEX, S.G. HIGHWAY, PRAHLADNAGAR"
Ahmedabad,910156,2892450000,"Kavisha Portrait, Nr. Club 07  150 feet Road, Shela",AAX3168,SAVED,PRCLM1WE87662,16900,3903270000,Mixed Development,19662,3903270000,PR/GJ/AHMEDABAD/SANAND/AUDA/MAA12621/101123,Kavisha The Portrait ,Ahmedabad,2028-03-31 00:00:00, , ,PR/AHMEDABAD/SANAND/GUJRERA/231021/015515,2023-09-01,2027-12-31,2023-09-30 19:26:48,kavishareraaer@gmail.com,New,KAVISHA AER LLP,2023-11-10,"Kavisha Corporate Campus S P Ring Road, Ambli"
