projectAckNo,promoterType,projRegNo,promoterEmailId,formOneId,formTwoId,certificateId,projectType,certificateUid,projRegId,promoterId,approvedDate,promoterName,appSubmissionDate,projectName,formThreeId,wfoId
PR/AHMEDABAD/AHMEDABAD CITY/GUJRERA/210526/010979,PARTNERSHIP FIRM,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08691/300621,olivegreens.rera@gmail.com,117103,118249,603327,Mixed Development,5RYCT6EMDEITUIUWDOR2UXZ3S86WT076S2PBI1YZJOXV545UE8,12196,13191,2021-06-30 00:00:00,GSG DEVELOPERS,2021-05-20 11:46:06,OLIVE GREENS,342077,12196
PR/AHMEDABAD/SANAND/GUJRERA/210715/011240,Individual/Propritorship,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA08927/210821,dushyantpandya1965@gmail.com,139739,132947,621660,Residential/Group Housing,T2OUYS16KX03UAGSHCXYCZ4VO1PGBV6EW5PEM9DRGNEO5KA2MR,12508,13523,2021-08-21 00:00:00,Dushyant  M. Pandya self and sole proprietor of M/s. Vishwanath Buildcon ,2021-07-09 11:06:56,Maher Select,357878,12508
PR/AHMEDABAD/AHMEDABAD CITY/GUJRERA/210913/011460,LIMITED LIABILITY PARTNERSHIP FIRM,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA09198/181021,shivanta@deepgroup1980.com,111289,112468,640604,Mixed Development,8FUT8GCLRR023PK55FFUV1NFFW741YH4R6NZQIBRG8QMKJ3WZN,12729,13750,2021-10-18 00:00:00,DEEP INFRAPROJECTS LLP,2021-08-19 12:13:56,Indraprasth Shivanta,336305,12729
PR/AHMEDABAD/AHMEDABAD CITY/GUJRERA/210920/011588,LIMITED LIABILITY PARTNERSHIP FIRM,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA09171/111021,rera.rajyashregius@gmail.com,136075,133578,638763,Mixed Development,7DHBYMVLF3GVIRYEHCWDRU1M5I3ACP9BBFRAHV264OILH2FEP3,12868,13904,2021-11-10 00:00:00,RAJYASH PROCON LLP,2021-09-08 12:53:39,Rajyash Regius,358880,12868
PR/AHMEDABAD/AHMEDABAD CITY/GUJRERA/211007/011740,LIMITED LIABILITY PARTNERSHIP FIRM,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA09268/301021,pivrera@gmail.com,111662,112841,645757,Residential/Group Housing,29ZQ69QN6EP91QCBP7J2RPDZYTJMR6TFQH4XIOTNRX1RDQKEO5,13050,14095,2021-10-30 00:00:00,PIV REALTY LLP,2021-10-04 19:14:15,AYAAN,336678,13050
PR/AHMEDABAD/SANAND/GUJRERA/211227/012237,LIMITED LIABILITY PARTNERSHIP FIRM,PR/GJ/AHMEDABAD/SANAND/AUDA/MAA09626/A1M/080422,kavishaatria@gmail.com,113675,114854,721859,Mixed Development,7VKNAWVIHSD9YE6WTB4FX38CL6IDS4HHHZ6L77MTQCDSPJM05S,13551,14493,2021-12-31 00:00:00,KAVISHA ATRIA LLP,2021-12-26 15:03:46,The Canvas ,338691,13551
PR/AHMEDABAD/AHMEDABAD CITY/GUJRERA/220204/012276,PARTNERSHIP FIRM,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA09912/EX1/031023,samyakarise2021@gmail.com,92538,125106,928632,Residential/Group Housing, ,13567,14636,2022-03-19 00:00:00,SAMYAKTVA  DEVELOPERS,2022-01-07 22:13:12,SAMYAK ARISE,348934,13567
PR/AHMEDABAD/AHMEDABAD CITY/GUJRERA/220210/012347,LIMITED LIABILITY PARTNERSHIP FIRM,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA09838/210222,harikeshharmony@gmail.com,131026,131876,699338,Residential/Group Housing,MTX2UB2KL7NXL4UK1KKFGLXLG7UCLI0M4DIGNJ6T9819J0SKWZ,13667,11684,2022-02-21 00:00:00,MAHAPRABHU RESIDENCY LLP,2022-02-07 17:36:35,HARMONY HARIKESH,356246,13667
PR/GANDHINAGAR/GANDHINAGAR/GUJRERA/220204/012389,LIMITED LIABILITY PARTNERSHIP FIRM,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/CAA09858/250222,atmilyfllp@gmail.com,130894,133209,700874,Commercial,H5GQGAK8EZYNKSU6NJF2KZEO0P7E8DF94VRRGRSPMB8MOLM4OW,13708,14780,2022-02-25 00:00:00,ATM ILYF LLP,2022-01-27 17:43:28,ATM MALL / ATM COLIVING I & II (Service Apartment),358399,13708
PR/AHMEDABAD/AHMEDABAD CITY/GUJRERA/220407/012694,Individual/Propritorship,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA10290/080622,mayankkubavat@yahoo.co.in,156991,135687,737811,Mixed Development,62C3FCGSTQ8RUQIJMG7L1I2QN2BLP5QGBYZ9F5CHQNXI24FHPE,17207,8463,2022-08-06 00:00:00,GORDHANBHAI V. SARVAIYA(PROPRIETOR OF GOVERDHAN DEVELOPERS),2022-03-28 18:51:18,CELESTE,361177,14026
PR/AHMEDABAD/SANAND/GUJRERA/220425/012721,Individual/Propritorship,PR/GJ/AHMEDABAD/SANAND/AUDA/MAA10293/A1M/140323,tejas@vishwanathbuilders.com,137846,133068,845008,Mixed Development,8LNLDFHIBGVN35LUVJFFDCH3FAI7N4GFHU8S5FR77BP9VOB4J3,17230,16310,2022-08-06 00:00:00,Vishwanath Builders through Prop Hitesh R Vyas,2022-04-02 18:52:34,Vishwanath Sarathya West,310435,14061
PR/SURAT/CHORASI/GUJRERA/220729/013175,PARTNERSHIP FIRM,PR/GJ/SURAT/CHORASI/SUDA/RAA10610/300822,avadhercole@gmail.com,87501,88688,758489,Residential/Group Housing,9MD0S00MN5Q9WILTEXKB8FVP56MQIIHJH4GQX3OXY2FJ3TWIAY,17644,16724,2022-08-30 00:00:00,AVADH INFRABUILD,2022-07-25 18:04:01,AVADH ERCOLE,312523,14536
PR/VADODARA/VADODARA/GUJRERA/220823/013210,LIMITED LIABILITY PARTNERSHIP FIRM,PR/GJ/VADODARA/VADODARA/Others/MAA10716/300922,anant@survigroup.com,164646,139056,775750,Mixed Development,6S2IZWPXY1BLRPGE5UEFWO0MZ41EA2MCE0ZNQ7Y80SU3UQSMXX,17670,16750,2022-09-30 00:00:00,SURVI INFRASPACE LLP,2022-07-29 18:36:58,Survi Pristine,366098,14567
PR/AHMEDABAD/DASKROI/GUJRERA/220920/013324,COMPANY,PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA10949/191122,galaikebana@galainfra.com,150028,134523,809939,Residential/Group Housing,JCYMCON4XI1M7O781FC825Z8EMK9PO6UWUSOFPWXCEAL3FWLZF,17770,16850,2022-11-19 00:00:00,NEMI LANDMARKS PRIVATE LIMITED,2022-09-05 12:11:10,IKEBANA,360376,14688
PR/AHMEDABAD/SANAND/GUJRERA/220908/013353,LIMITED LIABILITY PARTNERSHIP FIRM,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA10889/111122,rivierasprings.rera@gmail.com,163229,136617,806473,Residential/Group Housing,O18MILKGXJVOKLJLNNOJD1X0HMRN5BUPH6SLPCEXX1O34LEW5N,17797,10875,2022-11-11 00:00:00,SAFAL GOYAL REALTY LLP,2022-09-02 21:28:22,RIVIERA MAJESTICA,362745,14719
PR/GANDHINAGAR/GANDHINAGAR/GUJRERA/221226/013940,LIMITED LIABILITY PARTNERSHIP FIRM,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA11100/301222,rera.marina@savvygroup.in,152425,135084,822984,Mixed Development,8G048Q85NNM3CWSXKY24488OXRGAK9P0XZ34IINGWL2QXN2MP0,17798,16878,2022-12-30 00:00:00,SAVVY ATS REALTY LLP,2022-12-25 12:10:14,MARINA,360141,14720
PR/AHMEDABAD/AHMEDABAD CITY/GUJRERA/221011/013483,LIMITED LIABILITY PARTNERSHIP FIRM,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA10898/A1R/160923,rera.aranyam@gmail.com,158374,137802,913691,Residential/Group Housing,QB9YWGPZ91TJQCX62B9U09CBKEWIW2UJN4P4HH42IES1SZX6MN,17909,16989,2022-11-11 00:00:00,AARYAN BUILD PROJECTS LLP,2022-09-29 16:58:19,Aranyam,364958,14845
PR/VADODARA/CHHOTA UDAIPUR/GUJRERA/221213/013589,PARTNERSHIP FIRM,PR/GJ/VADODARA/VADODARA/Others/RAA11322/030323,ratnam.parkview@gmail.com,174880,141522,842247,Residential/Group Housing,KARHMV0P0TR9NV7YF8HVGLY41P7KDAZ4YSK7IJXQOV6CIPNOJY,18005,17085,2023-03-03 00:00:00,SHRI RAM CORPORATION,2022-10-17 15:09:09,RATNAM PARK VIEW,369234,14959
PR/AHMEDABAD/AHMEDABAD CITY/GUJRERA/221118/013722,LIMITED LIABILITY PARTNERSHIP FIRM,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA11096/291222,rera.shilpnorthsky@gmail.com,178421,141341,822436,Mixed Development,K56JKSEPO8UZ7BD2OSR9C2HNF97D499I1VR1MXQYZN54VRUPSK,18120,17845,2022-12-29 00:00:00,SHILP INFRAPROJECTS LLP,2022-11-15 19:51:36,SHILP RESIDENCY,368807,15092
PR/GANDHINAGAR/GANDHINAGAR/GUJRERA/230113/014008,COMPANY,PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/RAA11300/020323,augusta@adani.com,130521,133869,841910,Residential/Group Housing,BTSKVE7ZDF6QWSZ3VMJZZP409V7R9XJ3QGESGF7WUOEOI6EM20,18385,18750,2023-02-03 00:00:00,ADANI ESTATE MANAGEMENT PRIVATE LIMITED,2023-01-10 17:31:47, The West Park,362154,15384
PR/SURAT/SURAT CITY/GUJRERA/230131/014027,LIMITED LIABILITY PARTNERSHIP FIRM,PR/GJ/SURAT/SURAT CITY/SUDA/CAA11384/040323,westerngroup00000@gmail.com,173670,139158,842786,Commercial,4W6BZZLKSB3P016FIUZH21ZV9DMAC1CIQB50JVNCVEU7T53K64,18408,17488,2023-04-03 00:00:00,SHAKTI ORGANISERS LLP,2023-01-25 20:30:24,AASHIRWAD HIGH STREET ,366994,15407
PR/GANDHINAGAR/GANDHINAGAR/GUJRERA/230320/014342,LIMITED LIABILITY PARTNERSHIP FIRM,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/RAA11515/240323,mihir@shivalikgroup.com,178195,140078,848833,Residential/Group Housing,NVLZ3AH83YSBBUTWK73NF9M8H35B6MHTOUFLP6IV0YQ2ZW1C2A,18696,9171,2023-03-24 00:00:00,SHIVALIK JHANVI INFRASPACE LLP,2023-03-16 19:01:41,Shivalik Skyview,368148,15719
PR/GANDHINAGAR/GANDHINAGAR/GUJRERA/230403/014415,LIMITED LIABILITY PARTNERSHIP FIRM,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA11559/060423,rera.shilpnorthsky@gmail.com,150067,136586,852217,Mixed Development,6MT808652ULHIUILUCJRNEYZZ6YDQE7JCX4LRL15V0RVOLFK8C,18765,17845,2023-06-04 00:00:00,SHILP INFRAPROJECTS LLP,2023-03-29 20:55:46,SHILP NORTH SKY,362841,15795
PR/SURAT/SURAT CITY/GUJRERA/230418/014440,PARTNERSHIP FIRM,PR/GJ/SURAT/SURAT CITY/SUDA/RAA11763/150523,amayacorporation2022@gmail.com,181604,141237,867626,Residential/Group Housing,0GSKCOH0HFYLUHVDDTFC8AU6GR8VNVH76BYDOBRYHE19FVCMVY,18785,17865,2023-05-15 00:00:00,AMAYA CORPORATION,2023-04-06 19:01:31,AMAYA,368761,15818
PR/SURAT/SURAT CITY/GUJRERA/230429/014556,COMPANY,PR/GJ/SURAT/SURAT CITY/SUDA/RAA11989/210623,rajhans.golflink@gmail.com,169553,138828,884757,Residential/Group Housing,3H1O1O60SEZKX03MNNSWHUWJX21RS546MAU5GZRPCC1G2EEFUR,18905,17985,2023-06-21 00:00:00,RAJHANS INFRACON (INDIA) PRIVATE LIMITED,2023-04-26 15:42:31,RAJHANS GOLF LINK,366874,15943
PR/AHMEDABAD/AHMEDABAD CITY/GUJRERA/230506/014565,LIMITED LIABILITY PARTNERSHIP FIRM,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA11845/240523,rera.supershaligram@gmail.com,177076,140460,872571,Residential/Group Housing,I3KU1LKU78LCV9IBHW8A9DPHVRDCQYWSX45X0KC0YAPIVRU351,18914,17994,2023-05-24 00:00:00,SUPER SHALIGRAM LLP,2023-04-28 20:21:20,SUPER SHALIGRAM,368508,15952
PR/AHMEDABAD/DASKROI/GUJRERA/230522/014570,LIMITED LIABILITY PARTNERSHIP FIRM,PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA11972/190623,aumshreyarealty@gmail.com,182474,141129,883715,Residential/Group Housing,QXBZCYYYNTLZYLME2C21RY3IC7G91SIQI133YZ7LHJ2SRDE8XK,18919,17999,2023-06-19 00:00:00,AUM SHREYA REALTY LLP,2023-05-13 11:58:53,THE BELLAGIO,368484,15957
PR/SURAT/SURAT CITY/GUJRERA/230504/014594R1,COMPANY,PR/GJ/SURAT/SURAT CITY/SUDA/RAA11979/200623,rajhans.golflink@gmail.com,169547,138832,884287,Residential/Group Housing,JH4TIDE8L6I1E4DJBH3QHCLHTU0KA8R46QRM10VNG7SDC918OU,18945,17985,2023-06-20 00:00:00,RAJHANS INFRACON (INDIA) PRIVATE LIMITED,2023-04-29 14:33:58,RAJHANS KRONIS,366872,15984
PR/GANDHINAGAR/GANDHINAGAR/GUJRERA/230522/014629,LIMITED LIABILITY PARTNERSHIP FIRM,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA12149/170823,jayesh.pandya@bakeri.com,179118,139908,903724,Mixed Development,H35QCGZEHB5XZMF2ZACIYK1GGI8SVRULCO6FL20YDU5RBTHHV6,18965,18045,2023-08-17 00:00:00,BAKERI RESIDENCES LLP,2023-05-09 20:16:13,STELLA,368786,16005
PR/AHMEDABAD/AHMEDABAD CITY/GUJRERA/230522/014649,PARTNERSHIP FIRM,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA12039/280623,accounts2@marutibuildcon.com,174091,138895,887708,Residential/Group Housing,ZYCZYMYEUSLFN1MVA3W6D67KU5OKYL1KCGQDR9HK7UM5YF7M1U,18991,18071,2023-06-28 00:00:00,ANJNEY FINEBUILD,2023-05-06 17:11:08,MARUTI 360,366658,16034
PR/AHMEDABAD/AHMEDABAD CITY/GUJRERA/230519/014656,COMPANY,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA12019/280623,orchidgold.rera1@gmail.com,162275,136565,887559,Mixed Development,RSGDLAJA0DO7KSPFQIZX5YTONHYZ5AWI1WV4AGXYB2EO2AWPDL,18998,18078,2023-06-28 00:00:00,GALAXY REAL ESTATE DEVELOPERS GUJ PRIVATE LIMITED,2023-05-09 18:35:15,ORCHID GOLD,362851,16043
PR/AHMEDABAD/AHMEDABAD CITY/GUJRERA/230529/014750,COMPANY,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA12151/170823,mondeal2.rera@gmail.com,172848,138249,903740,Commercial,W5H19SSN3R2WIY77UAZEV7IHW9OCT1V9YFFJHHPB3C4N25T4LE,19084,18164,2023-08-17 00:00:00,HN SAFAL INFRA DEVELOPERS PRIVATE LIMITED,2023-05-18 17:01:33,MONDEAL TWO,365620,16135
PR/VADODARA/VADODARA/GUJRERA/230615/014819,LIMITED LIABILITY PARTNERSHIP FIRM,PR/GJ/VADODARA/VADODARA/Others/MAA12311/250923,sorrento.rosette@gmail.com,166387,137543,917933,Mixed Development,NAA6GM2RSMNQC32F1AG4CG06SK9ERTQ4UXYOVNIGX1184NACBA,19148,18228,2023-09-25 00:00:00,AVKAR BUILDTECH LLP,2023-06-12 15:32:45,SORRENTO ROSETTE,365285,16208
PR/SURAT/SURAT CITY/GUJRERA/230606/014850,LIMITED LIABILITY PARTNERSHIP FIRM,PR/GJ/SURAT/SURAT CITY/SUDA/MAA12157/180823,legal@roongtadevelopers.com,164181,138477,904006,Mixed Development,FLW6XITJL38SVR4QMMJFO23IDUYRQVZR1F7JS4KP1J5FPTSO3E,19177,18257,2023-08-18 00:00:00,SKYTOWER ENTERPRISES LLP,2023-05-31 12:40:15,ESTELLA,365440,16240
PR/SURAT/SURAT CITY/GUJRERA/230720/015123,PARTNERSHIP FIRM,PR/GJ/SURAT/SURAT CITY/SUDA/RAA12270/010923,avadhclassima@gmail.com,92166,93351,908989,Residential/Group Housing,D3YQAXFW5A54ML80N2TGA0OQRJNVK6O2WHV10Q6L7UBIGXT5DQ,19406,18145,2023-01-09 00:00:00,AVADH CLASSIMA,2023-07-17 16:39:01,AVADH CLASSIMA,317185,16508
PR/GANDHINAGAR/GANDHINAGAR/GUJRERA/230720/015125,LIMITED LIABILITY PARTNERSHIP FIRM,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/RAA12236/310823,dharohar@sheetalinfra.com,92170,93356,908620,Residential/Group Housing,F4SFUJ8L3EHZQILT7M4N6U7QRV58SI5K8HCAFV13UT9PVNL4KM,19410,18490,2023-08-31 00:00:00,SHEETAL HOUSING DEVELOPMENT LLP,2023-07-13 16:09:31,Dharohar,317190,16512
PR/AHMEDABAD/AHMEDABAD CITY/GUJRERA/230904/015347,COMPANY,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA12448/131023,finance.re@ashima.in,92338,93523,933202,Residential/Group Housing,ADQ7X5N1ISWHJIIDQVBRZYJ65XXFF415L3NT5JGOFOIRK84BF3,19577,18657,2023-10-13 00:00:00,ASHIMA LIMITED,2023-08-24 19:08:21,The Sovereign,317357,16732
PR/AHMEDABAD/SANAND/GUJRERA/230925/015449,LIMITED LIABILITY PARTNERSHIP FIRM,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA12709/161123,rivierapalacio.rera@gmail.com,92393,93578,957651,Residential/Group Housing,JUXS7L40KAOMJKQ75WLS4Z7C4MZ140QL5H1T70ZADGBYOXL5EU,19632,18712,2023-11-16 00:00:00,SAFAL GOYAL REALTY LLP,2023-09-15 13:59:36,RIVIERA PALACIO,317412,16833
PR/AHMEDABAD/SANAND/GUJRERA/231021/015515,LIMITED LIABILITY PARTNERSHIP FIRM,PR/GJ/AHMEDABAD/SANAND/AUDA/MAA12621/101123,kavishareraaer@gmail.com,92423,93608,957136,Mixed Development,YTZDF7KYLTHWNP484LJF2PQPTJ7DGC9APVEM3EYO4REY5WXXI6,19662,17959,2023-10-11 00:00:00,KAVISHA AER LLP,2023-09-30 19:26:48,Kavisha The Portrait ,317442,16900
PR/GANDHINAGAR/GANDHINAGAR/GUJRERA/231010/015537,COMPANY,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/CAA12514/211023,rera.shivalikcurv@gmail.com,92429,93614,937965,Commercial,M757VZKDCX0SQOTAXZOC3C9SN7BAAHTGE1JF8B6B0LR9BXBNWW,19668,18748,2023-10-21 00:00:00,SHIVALIK DEVELOPERS PRIVATE LIMITED,2023-10-05 20:53:41,Shivalik Curv,317448,16920
PR/GANDHINAGAR/GANDHINAGAR/GUJRERA/231101/015647,LIMITED LIABILITY PARTNERSHIP FIRM,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/CAA12608/081123,rera.shilpnorthsky@gmail.com,92441,93626,956756,Commercial,W72R8UB0NRQTLSL8M9HUCAXJ408QXZSDP8Q7QX1P66WTYGRVR8,19680,17845,2023-08-11 00:00:00,SHILP INFRAPROJECTS LLP,2023-10-27 19:28:48,SHILP CENTRICA,317460,17043
